country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cape Verde,12,0,0,0,0,0,0,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,15.3,18.1,18.1,18.1,18.1,20.8,20.8,20.8,20.8,20.8,23.6,23.6,23.6
Central African Republic,3.8,0,0,0,0,0,0,3.5,3.5,7.3,7.3,7.3,7.3,0,0,10.5,10.5,10.5,10.5,9.6,9.6,12.5,12.5,0,0,0,7.2,8.6,8.6
Chad,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,2.4,0,5.8,6.5,6.5,6.5,5.2,5.2,5.2,5.2,12.8,14.9,14.9,14.9,14.9,14.9,12.8,15.3
Chile,0,0,0,0,0,0,0,7.5,10.8,10.8,10.8,10.8,12.5,12.5,12.5,15,15,15,15,14.2,14.2,14.2,14.2,14.2,15.8,15.8,15.8,15.8,22.6
China,21.3,0,0,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8,20.2,20.2,20.3,20.3,20.6,21.3,21.3,21.3,21.3,21.3,23.4,23.4,23.6,23.6,24.2,24.9
Colombia,4.5,0,0,0,0,0,0,11.7,0,11.8,11.8,11.8,12,12,12,12.1,8.4,8.4,8.4,8.4,12.7,12.1,12.1,12.1,19.9,19.9,19.9,18.7,18.1
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,6.1,6.1
"Congo, Dem. Rep.",5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8.4,8.4,8.4,8.4,8.4,0,8.9,8.9,10.6,8.9,8.9,8.9,8.9
"Congo, Rep.",14.3,0,0,0,0,0,0,0,12,12,12,12,0,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,11.3,11.3
Costa Rica,10.5,0,0,0,0,0,0,15.8,19.3,19.3,19.3,19.3,35.1,35.1,35.1,35.1,38.6,36.8,36.8,36.8,38.6,38.6,38.6,38.6,33.3,33.3,33.3,35.1,45.6
Cote d'Ivoire,5.7,0,0,0,0,0,0,8,8,8,0,8.5,8.5,8.5,8.5,8.5,8.5,8.9,8.9,8.9,8.9,11,10.4,10.4,9.4,9.2,9.2,10.6,10.6
Croatia,0,0,0,0,0,0,0,7.9,7.9,7.9,20.5,20.5,20.5,0,21.7,21.7,21.7,20.9,20.9,23.5,23.5,23.8,23.8,23.8,23.8,15.2,12.6,18.5,18.5
Cuba,33.9,0,0,0,0,0,0,22.8,27.6,27.6,27.6,27.6,27.6,36,36,36,36,36,43.2,43.2,43.2,45.2,45.2,48.9,48.9,48.9,48.9,48.9,53.2
Cyprus,1.8,0,0,0,0,0,0,5.4,5.4,5.4,7.1,10.7,10.7,10.7,16.1,16.1,14.3,14.3,14.3,12.5,12.5,10.7,10.7,10.7,12.5,12.5,17.9,17.9,17.9
Czech Republic,0,0,0,0,0,0,0,15,15,15,15,15,17,17,17,17,15.5,15.5,15.5,15.5,22,22,22,19.5,19.5,20,20,20,22
Denmark,30.7,0,0,0,0,0,0,33,37.4,37.4,37.4,0,38,38,38,36.9,36.9,38,38,38,38,39.1,39.1,39.1,39.1,37.4,37.4,37.4,37.4
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,10.8,10.8,10.8,13.8,13.8,13.8,13.8,13.8,13.8,12.7,12.7,12.7,12.7,10.8,26.2
Dominica,10,0,0,0,0,0,0,9.4,9.4,9.4,0,18.8,18.8,18.8,19.4,12.9,12.9,16.1,18.8,14.3,12.5,12.5,12.5,12.5,12.9,21.9,21.9,25,25
Dominican Republic,7.5,0,0,0,0,0,0,11.7,16.1,16.1,16.1,16.1,17.3,17.3,17.3,17.3,19.7,19.7,19.7,19.7,20.8,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8
Ecuador,4.5,0,0,0,0,0,0,3.7,17.4,17.4,14.6,14.6,0,16,16,16,25,25,25,32.3,32.3,32.3,32.3,38.7,41.6,41.6,41.6,38,38
Egypt,3.9,0,0,0,0,0,0,2,2,2,2,2.4,2.4,2.4,2.9,2,2,1.8,1.8,1.8,12.7,2,2,0,0,0,14.9,14.9,14.9
El Salvador,11.7,0,0,0,0,0,0,15.5,16.7,16.7,9.5,9.5,9.5,10.7,10.7,10.7,16.7,16.7,16.7,19,19,19,26.2,26.2,27.4,32.1,32.1,32.1,31
Equatorial Guinea,13.3,0,0,0,0,0,0,8.8,8.8,5,5,5,5,5,18,18,18,18,6,10,10,10,10,12.1,24,24,24,24,20
Eritrea,0,0,0,0,0,0,0,21,21,14.7,14.7,14.7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Estonia,0,0,0,0,0,0,0,10.9,10.9,17.8,17.8,17.8,17.8,18.8,18.8,18.8,18.8,20.8,20.8,22.8,22.8,19.8,20.8,20.8,19,23.8,23.8,26.7,26.7
Ethiopia,0,0,0,0,0,0,0,2,2,2,7.7,7.7,7.7,7.7,7.7,21.4,21.9,21.9,21.9,21.9,27.8,27.8,27.8,27.8,27.8,38.8,38.8,38.8,38.8
Fiji,0,0,0,0,0,0,0,4.3,4.3,11.3,0,5.7,5.7,5.7,8.5,8.5,0,0,0,0,0,0,0,0,14,16,16,16,16
Finland,31.5,0,0,0,0,0,0,33.5,33.5,37,36.5,36.5,36.5,37.5,37.5,37.5,38,41.5,41.5,40,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42
France,6.9,0,0,0,0,0,0,10.9,10.9,10.9,10.9,10.9,12.1,12.2,12.2,12.2,12.2,18.2,18.2,18.9,18.9,18.9,26.9,26.9,26.2,26.2,26.2,39,39.6
