country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rwanda,17.1,0,0,0,0,0,0,17.1,17.1,17.1,25.7,25.7,25.7,48.8,48.8,48.8,48.8,48.8,56.3,56.3,56.3,56.3,56.3,63.8,63.8,63.8,63.8,61.3,61.3
Samoa,0,0,0,0,0,0,0,4.1,4.1,8.2,8.2,6.1,6.1,6.1,6.1,6.1,6.1,8.2,8.2,8.2,8.2,4.1,4.1,4.1,6.1,6.1,10,10,10
San Marino,11.7,0,0,0,0,0,0,11.7,13.3,13.3,13.3,16.7,16.7,16.7,16.7,16.7,11.7,11.7,15,16.7,16.7,18.3,16.7,18.3,18.3,16.7,16.7,26.7,26.7
Sao Tome and Principe,11.8,0,0,0,0,0,0,7.3,7.3,9.1,9.1,9.1,0,9.1,9.1,9.1,7.3,1.8,7.3,7.3,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,19.9,19.9,19.9,19.9,19.9
Senegal,12.5,0,0,0,0,0,0,11.7,12.1,12.1,12.1,16.7,19.2,19.2,19.2,19.2,19.2,22,22,22.7,22.7,22.7,42.7,42.7,43.3,42.7,42.7,41.8,41.8
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20.4,21.6,21.6,21.6,22,33.2,33.2,34,34,34,34.4,34.4
Seychelles,16,0,0,0,0,0,0,27.3,23.5,23.5,23.5,23.5,29.4,29.4,29.4,29.4,29.4,23.5,23.5,23.5,23.5,43.8,43.8,43.8,43.8,43.8,21.2,21.2,21.2
Sierra Leone,0,0,0,0,0,0,0,0,0,8.8,8.8,8.8,0,14.5,14.5,14.5,14.5,13.2,13.2,13.2,13.2,12.9,12.4,12.4,12.1,12.4,12.4,12.4,12.3
Singapore,4.9,0,0,0,0,0,0,4.8,4.8,4.3,4.3,11.8,11.8,16,16,16,21.2,24.5,24.5,23.4,23.4,22.2,24.2,24.2,25.3,23.9,23.8,23,23
Slovak Republic,0,0,0,0,0,0,0,14.7,14.7,12.7,14,14,17.3,19.3,16.7,16.7,20,19.3,19.3,18,15.3,16,18.7,18.7,18.7,18.7,20,20,20
Slovenia,0,0,0,0,0,0,0,7.8,7.8,7.8,0,12.2,12.2,12.2,12.2,12.2,12.2,12.2,13.3,14.4,14.4,32.2,32.2,32.2,35.6,36.7,36.7,36.7,24.4
Solomon Islands,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4
Somalia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.8,8.2,8.2,6.9,6.8,6.8,13.8,13.8,13.8,13.8,13.8,24.4,24.4
South Africa,2.8,0,0,0,0,0,0,25,28.8,30,29.8,29.8,29.8,29.8,32.8,32.8,32.8,33,33,44.5,44.5,42.3,42.3,42.3,41.5,42,41.8,42,42.3
South Korea,2,0,0,0,0,0,0,3,3.7,3.7,5.9,5.9,5.9,5.9,13,13.4,13.4,14.4,13.7,14.7,14.7,14.7,15.7,15.7,16.3,16.3,17,17,17
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,26.5,26.5,26.5,26.5,28.5,28.5,28.5
Spain,14.6,0,0,0,0,0,0,24.7,24.7,21.6,28.3,28.3,28.3,28.3,36,36,36,36.6,36.3,36.6,36.6,36,36,36,39.7,41.1,39.1,39.1,39.1
Sri Lanka,4.9,0,0,0,0,0,0,5.3,5.3,4.9,0,0,4.4,4.4,4.9,4.9,4.9,5.8,5.8,5.8,5.3,5.8,5.8,5.8,5.8,4.9,5.8,5.8,5.8
St. Kitts and Nevis,6.7,0,0,0,0,0,0,13.3,13.3,13.3,13.3,13.3,13.3,13.3,0,0,0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,13.3,13.3,13.3,13.3
St. Lucia,0,0,0,0,0,0,0,11.8,11.8,11.1,11.1,0,11.1,11.1,11.1,11.1,0,11.1,11.1,11.1,11.1,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
St. Vincent and the Grenadines,9.5,0,0,0,0,0,0,9.5,0,4.8,4.8,0,22.7,22.7,22.7,18.2,18.2,18.2,18.2,21.7,14.3,17.4,17.4,13,13,13,13,13,13
Sudan,0,0,0,0,0,0,0,5.3,5.3,0,0,9.7,9.7,9.7,9.7,14.7,17.8,18.1,18.1,18.9,25.6,24.6,24.6,24.6,24.3,30.5,30.5,30.5,30.5
Suriname,7.8,0,0,0,0,0,0,15.7,15.7,15.7,0,17.6,17.6,17.6,19.6,25.5,25.5,25.5,25.5,25.5,9.8,11.8,11.8,11.8,11.8,25.5,25.5,25.5,25.5
Sweden,38.4,0,0,0,0,0,0,40.4,40.4,42.7,42.7,42.7,45,45.3,45.3,45.3,47.3,47,47,46.4,45,44.7,44.7,44.7,44.7,43.6,43.6,43.6,46.1
Switzerland,14,0,0,0,0,0,0,21,21,22.5,23,23,23,25,25,25,25,28.5,28.5,29,29,28.5,29,29,31,32,32,32.5,32.5
Syria,9.2,0,0,0,0,0,0,9.6,9.6,10.4,10.4,10.4,10.4,12,12,12,12,12,12.4,12.4,12.4,12.4,12,12,12,12.4,13.2,13.2,13.2
Tajikistan,0,0,0,0,0,0,0,2.8,2.8,2.8,15,12.7,12.7,12.7,12.7,17.5,17.5,17.5,17.5,17.5,19,19,19,19,16.9,19,19,19,19
Tanzania,0,0,0,0,0,0,0,17.5,17.5,16.4,0,22.3,22.3,21.4,21.4,30.4,30.4,30.4,30.4,30.7,0,36,36,36,36,36,36.6,36.4,37.2
Thailand,2.8,0,0,0,0,0,0,5.6,5.6,5.6,4.8,9.2,9.2,9.2,8.8,10.6,8.7,11.7,11.7,13.3,13.3,15.8,15.8,15.8,6.1,6.1,6.1,4.8,5.3
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,25.3,25.3,25.3,29.2,29.2,29.2,29.2,32.3,38.5,38.5,38.5,38.5,38.5,32.3,33.8
Togo,5.2,0,0,0,0,0,0,1.2,1.2,0,4.9,4.9,4.9,7.4,6.2,7.4,8.6,11.1,11.1,11.1,11.1,11.1,11.1,15.4,17.6,17.6,17.6,17.6,17.6
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.3,3.3,3.1,3.1,0,3.6,3.6,3.6,0,0,0,3.8,7.4
Trinidad and Tobago,16.7,0,0,0,0,0,0,11.1,11.1,11.1,0,11.1,19.4,19.4,19.4,19.4,19.4,26.8,26.8,26.8,28.6,28.6,28.6,28.6,28.6,31,31,31,31
Tunisia,4.3,0,0,0,0,0,0,6.7,7.4,11.5,11.5,11.5,11.5,11.5,22.8,22.8,22.8,22.8,22.8,27.6,27.6,26.7,26.7,26.7,31.3,31.3,31.3,31.3,31.3
Turkey,1.3,0,0,0,0,0,0,2.4,2.4,4.2,4.2,4.2,0,4.4,4.4,4.4,4.4,9.1,9.1,9.1,9.1,14.2,14.2,14.4,14.4,14.9,14.9,14.6,17.4
Turkmenistan,26,0,0,0,0,0,0,18,18,0,26,26,26,26,0,16,16,16,0,16.8,16.8,16.8,16.8,16.8,26.4,25.8,25.8,25.8,24.8
Tuvalu,7.7,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Uganda,12.2,0,0,0,0,0,0,18.1,18.1,17.9,17.8,24.7,24.7,24.7,23.9,23.9,29.8,30.7,30.7,31.5,31.3,35,35,35,35,35,33.5,34.3,34.3
Ukraine,0,0,0,0,0,0,0,3.8,0,7.8,7.8,7.8,0,5.3,5.3,5.3,8.7,8.2,8.2,8,8,8,9.4,9.4,11.7,12.1,12,12.3,12.3
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5
United Kingdom,6.3,0,0,0,0,0,0,18.2,18.2,18.4,18.4,17.9,17.9,17.9,18.1,19.7,19.7,19.5,19.5,19.5,22,22.3,22.5,22.5,22.6,29.4,29.6,32,32.2
United States,6.6,0,0,0,0,0,0,11.7,11.7,13.3,0,14,13.8,14.3,14.9,15.2,16.3,16.8,17,16.8,16.8,16.8,18,17.9,19.3,19.4,19.4,19.4,19.6
Uruguay,6.1,0,0,0,0,0,0,7.1,7.1,12.1,12.1,12.1,12.1,12.1,12.1,11.1,11.1,12.1,12.1,14.1,15.2,12.1,12.1,12.1,16.2,16.2,16.2,20.2,20.2
Uzbekistan,0,0,0,0,0,0,0,6,6,0,7.2,7.2,7.2,7.2,17.5,17.5,17.5,17.5,17.5,22,22,22,22,22,22,16,16,16,16
Vanuatu,4.3,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,1.9,0,0,0,0,0,0,0
Venezuela,10,0,0,0,0,0,0,5.9,5.9,12.1,0,9.7,9.7,9.7,9.7,17.4,18,18.6,18.6,17.5,17,17,17,17,17,17,14.4,22.2,22.2
Vietnam,17.7,0,0,0,0,0,0,26.2,26.2,26,26,26,27.3,27.3,27.3,27.3,27.3,25.8,25.8,25.8,25.8,24.4,24.4,24.4,24.3,24.3,26.7,26.7,26.7
Yemen,4.1,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0
Zambia,6.6,0,0,0,0,0,0,9.7,10.3,10.1,10.1,10.1,12,12,12,12.7,14.6,15.2,15.2,14,14,11.5,11.5,11.5,10.8,12.7,18,18,18
Zimbabwe,11,0,0,0,0,0,0,14.7,14.7,14,9.3,10,10,10,10,16,16.7,16,15.2,15,15,15,15,31.5,31.5,31.5,31.5,32.6,31.5
